002409.34+042240.7 0.840015  7914 4.59331    49383.2  DR14 -28.1365 0.0225 -31.8689  0.0595 0.0549 1.98385   0.21842  0.24044 -32.597     61.442   23.04   7.76826  4.61169 
002414.36-015614.1 2.14164   2099 0.944718    6745.49 DR14 -28.5129 0.055  -31.702   0.1489 0.1205 2.76415   0.42009  0.70109 -32.4728    18.0      4.0    4.24264  2.0     
002414.36-015614.1 2.14164   8918 3.79364    29793.9  DR14 -28.5129 0.055  -32.011   0.2043 0.1473 2.46693   0.52508  0.51038 -32.6655    20.706    6.706  4.48712  2.48302 
002418.36-015632.5 1.44711   8918 2.85882    29793.9  DR14 -27.6682 0.0111 -31.9003  0.1024 0.093  1.88035   0.27248  0.30763 -32.4555    34.93    16.83   5.89835  4.06162 
002428.85-020248.4 1.65452   8918 4.20138    29797.1  DR14 -27.7658 0.0113 -32.2417  0.145  0.1588 1.78595   0.383    0.45455 -32.5948    18.62     7.792  4.22963  2.71976 
002432.84-015052.9 1.25163   8918 8.00906    29797.1  DR14 -27.9773 0.0138 -31.7805  0.0961 0.0847 1.92692   0.27183  0.2844  -32.2094    39.144   11.723  5.8446   2.28692 
002434.89-020321.9 0.651507  2099 9.38905     6745.49 DR14 -27.7727 0.0204 -31.4972  0.108  0.091  2.58212   0.49208  0.58007 -31.614     20.702    6.66   4.28897  1.97773 
002434.89-020321.9 0.651507  8918 5.18625    29797.1  DR14 -27.7727 0.0204 -31.5085  0.0461 0.0433 2.16967   0.19685  0.21742 -32.3248    86.304   24.0    9.21597  4.70679 
002438.78-015813.4 2.384     8918 3.24802    29797.1  DR12 -27.8285 0.022  -31.8995  0.1598 0.1561 2.18424   0.37963  0.46781 -32.5908    28.797   13.58   5.32885  3.57616 
002659.52+261741.4 1.60656  14012 8.5951     21682.5  DR14 -28.2727 0.0351 -31.6183  0.1293 0.1147 1.88855   0.30291  0.33004 -32.0908    32.06    20.67   5.20493  3.69284 
002703.57+262058.8 0.683    14012 6.87565    21682.5  DR12 -27.9035 0.0277 -31.2311  0.0476 0.0447 2.03256   0.18007  0.18856 -31.9994    86.944   39.237  9.21315  6.00014 
002707.56+170617.8 0.947      929 9.70095    39935.8  DR12 -27.911  0.0173 -31.56    0.0466 0.0436 1.7671    0.15861  0.16838 -32.4006   107.295   39.962  9.68609  4.91757 
002710.82+261940.2 1.3177   14012 5.49478    21682.5  DR14 -28.3421 0.0375 -31.5557  0.0837 0.0775 1.57266   0.19924  0.20748 -32.1624    49.6     36.445  6.98661  5.94708 
002716.57+045606.6 1.76439   2579 9.51676    66341.3  DR14 -28.2594 0.0202 -31.7111  0.0663 0.0631 1.97925   0.17574  0.19298 -32.6375   114.688   38.745  9.6478   4.14783 
002723.00-013639.9 2.882     2100 3.15034     4691.83 DR12 -27.4975 0.0167 -31.4969  0.1644 0.1564 2.16328   0.38523  0.49347 -32.5931    24.875    6.0    4.96261  2.44949 
